# T(n), N=8192, mu=1.0, m=1
# n  lam=1e-05  lam=1e-06  lam=1e-07  lam=1e-08  lam=1e-09
8092  1.088032e+00  1.008157e+00  1.000810e+00  1.000081e+00  1.000008e+00
8102  1.088150e+00  1.008167e+00  1.000811e+00  1.000081e+00  1.000008e+00
8112  1.088268e+00  1.008177e+00  1.000812e+00  1.000081e+00  1.000008e+00
8122  1.088387e+00  1.008187e+00  1.000813e+00  1.000081e+00  1.000008e+00
8132  1.088505e+00  1.008198e+00  1.000814e+00  1.000081e+00  1.000008e+00
8142  1.088624e+00  1.008208e+00  1.000815e+00  1.000081e+00  1.000008e+00
8152  1.088742e+00  1.008218e+00  1.000816e+00  1.000082e+00  1.000008e+00
8162  1.088861e+00  1.008228e+00  1.000817e+00  1.000082e+00  1.000008e+00
8172  1.088980e+00  1.008238e+00  1.000818e+00  1.000082e+00  1.000008e+00
8182  1.089098e+00  1.008248e+00  1.000819e+00  1.000082e+00  1.000008e+00
8192  1.089217e+00  1.008259e+00  1.000820e+00  1.000082e+00  1.000008e+00
