# T(n), N=8192, lambda=1e-05, mu=1.0
# n  m=1  m=2  m=3  m=4
8092  1.088032e+00  5.210802e-01  3.425725e-01  2.551613e-01
8102  1.088150e+00  5.211073e-01  3.425842e-01  2.551678e-01
8112  1.088268e+00  5.211345e-01  3.425960e-01  2.551743e-01
8122  1.088387e+00  5.211617e-01  3.426077e-01  2.551808e-01
8132  1.088505e+00  5.211888e-01  3.426194e-01  2.551873e-01
8142  1.088624e+00  5.212160e-01  3.426312e-01  2.551938e-01
8152  1.088742e+00  5.212432e-01  3.426429e-01  2.552003e-01
8162  1.088861e+00  5.212703e-01  3.426547e-01  2.552068e-01
8172  1.088980e+00  5.212975e-01  3.426664e-01  2.552134e-01
8182  1.089098e+00  5.213247e-01  3.426781e-01  2.552199e-01
8192  1.089217e+00  1.042704e+00  1.042104e+00  1.042096e+00
