# T(n), N=1000, lambda=0.001, m=1
# n  mu=1  mu=2  mu=4  mu=6
900  9.202867e+00  9.075943e-01  3.224465e-01  1.960332e-01
910  1.006292e+01  9.158932e-01  3.234891e-01  1.964182e-01
920  1.108664e+01  9.243449e-01  3.245386e-01  1.968046e-01
930  1.232168e+01  9.329538e-01  3.255948e-01  1.971926e-01
940  1.383462e+01  9.417243e-01  3.266579e-01  1.975822e-01
950  1.572056e+01  9.506610e-01  3.277280e-01  1.979732e-01
960  1.811875e+01  9.597686e-01  3.288051e-01  1.983659e-01
970  2.123864e+01  9.690520e-01  3.298894e-01  1.987600e-01
980  2.540500e+01  9.785165e-01  3.309807e-01  1.991558e-01
990  3.113825e+01  9.881672e-01  3.320794e-01  1.995531e-01
1000  3.930321e+01  9.980099e-01  3.331853e-01  1.999520e-01
