# Theta(n), N=65536, mu=1.0, m=1
# n  lam=1e-05  lam=1e-06  lam=1e-07  lam=1e-08  lam=1e-09
65527  1.957589e+02  7.327171e+11  6.892146e+21  6.851468e+31  6.847426e+41
65528  1.272749e+02  4.801275e+10  4.516217e+19  4.489561e+28  4.486913e+37
65529  8.240072e+01  3.146180e+09  2.959386e+17  2.941920e+25  2.940184e+33
65530  5.299637e+01  2.061660e+08  1.939256e+15  1.927811e+22  1.926673e+29
65531  3.372852e+01  1.351006e+07  1.270795e+13  1.263294e+19  1.262549e+25
65532  2.110264e+01  8.853265e+05  8.327644e+10  8.278494e+15  8.273611e+20
65533  1.282898e+01  5.801622e+04  5.457272e+08  5.425063e+12  5.421863e+16
65534  7.407215e+00  3.800977e+03  3.576313e+06  3.555206e+09  3.553109e+12
65535  3.854244e+00  2.480932e+02  2.343601e+04  2.329868e+06  2.328495e+08
65536  1.525879e+00  1.525879e+01  1.525879e+02  1.525879e+03  1.525879e+04
