# Theta(n), N=65536, lambda=1e-05, m=1
# n  mu=1  mu=10  mu=100  mu=1000
65527  1.957589e+02  7.327171e+10  6.892146e+19  6.851468e+28
65528  1.272749e+02  4.801275e+09  4.516217e+17  4.489561e+25
65529  8.240072e+01  3.146180e+08  2.959386e+15  2.941920e+22
65530  5.299637e+01  2.061660e+07  1.939256e+13  1.927811e+19
65531  3.372852e+01  1.351006e+06  1.270795e+11  1.263294e+16
65532  2.110264e+01  8.853265e+04  8.327644e+08  8.278494e+12
65533  1.282898e+01  5.801622e+03  5.457272e+06  5.425063e+09
65534  7.407215e+00  3.800977e+02  3.576313e+04  3.555206e+06
65535  3.854244e+00  2.480932e+01  2.343601e+02  2.329868e+03
65536  1.525879e+00  1.525879e+00  1.525879e+00  1.525879e+00
