# T_k, N=65536, mu=1, m=1, n_start=65527
# k  lam=1e-05  lam=1e-06  lam=1e-07
65527  2.900577e+00  1.070121e+00  1.006596e+00
65528  2.900661e+00  1.070122e+00  1.006596e+00
65529  2.900745e+00  1.070123e+00  1.006596e+00
65530  2.900829e+00  1.070124e+00  1.006596e+00
65531  2.900913e+00  1.070125e+00  1.006596e+00
65532  2.900998e+00  1.070126e+00  1.006596e+00
65533  2.901082e+00  1.070128e+00  1.006596e+00
65534  2.901166e+00  1.070129e+00  1.006597e+00
65535  2.901250e+00  1.070130e+00  1.006597e+00
65536  2.901334e+00  1.070131e+00  1.006597e+00
