# T_k, N=65536, lambda=1e-5, mu=1, n_start=65527
# k  m=1  m=2  m=3
65527  2.900577e+00  7.436355e-01  4.264860e-01
65528  2.900661e+00  7.436410e-01  4.264878e-01
65529  2.900745e+00  7.436465e-01  4.264896e-01
65530  2.900829e+00  7.436521e-01  4.264915e-01
65531  2.900913e+00  7.436576e-01  4.264933e-01
65532  2.900998e+00  7.436631e-01  4.264951e-01
65533  2.901082e+00  7.436687e-01  4.264969e-01
65534  2.901166e+00  7.436742e-01  4.264987e-01
65535  2.901250e+00  7.436797e-01  6.397508e-01
65536  2.901334e+00  1.487371e+00  1.419261e+00
