# T_k, N=65536, lambda=1e-5, m=1, n_start=65527
# k  mu=1  mu=10  mu=100  mu=1000
65527  2.900577e+00  1.070121e-01  1.006596e-02  1.000656e-03
65528  2.900661e+00  1.070122e-01  1.006596e-02  1.000656e-03
65529  2.900745e+00  1.070123e-01  1.006596e-02  1.000656e-03
65530  2.900829e+00  1.070124e-01  1.006596e-02  1.000656e-03
65531  2.900913e+00  1.070125e-01  1.006596e-02  1.000656e-03
65532  2.900998e+00  1.070126e-01  1.006596e-02  1.000656e-03
65533  2.901082e+00  1.070128e-01  1.006596e-02  1.000656e-03
65534  2.901166e+00  1.070129e-01  1.006597e-02  1.000656e-03
65535  2.901250e+00  1.070130e-01  1.006597e-02  1.000656e-03
65536  2.901334e+00  1.070131e-01  1.006597e-02  1.000656e-03
