# theta_k, N=65536, mu=1, m=1, n_start=65527
# k  lam=1e-05  lam=1e-06  lam=1e-07
65527  1.957589e+02  7.327171e+11  6.892146e+21
65528  1.272749e+02  4.801275e+10  4.516217e+19
65529  8.240072e+01  3.146180e+09  2.959386e+17
65530  5.299637e+01  2.061660e+08  1.939256e+15
65531  3.372852e+01  1.351006e+07  1.270795e+13
65532  2.110264e+01  8.853265e+05  8.327644e+10
65533  1.282898e+01  5.801622e+04  5.457272e+08
65534  7.407215e+00  3.800977e+03  3.576313e+06
65535  3.854244e+00  2.480932e+02  2.343601e+04
65536  1.525879e+00  1.525879e+01  1.525879e+02
