# theta_k, N=65536, lambda=1e-5, mu=1, n_start=65527
# k  m=1  m=2  m=3
65527  1.957589e+02  3.461342e+04  5.780471e+05
65528  1.272749e+02  1.134007e+04  1.262586e+05
65529  8.240072e+01  3.714960e+03  2.757792e+04
65530  5.299637e+01  1.216688e+03  6.023511e+03
65531  3.372852e+01  3.981479e+02  1.315402e+03
65532  2.110264e+01  1.299551e+02  2.869988e+02
65533  1.282898e+01  4.208110e+01  6.235868e+01
65534  7.407215e+00  1.328850e+01  1.328850e+01
65535  3.854244e+00  3.854244e+00  3.854244e+00
65536  1.525879e+00  1.525879e+00  1.525879e+00
